store_name,street,city,state,zip,final_zip_pred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Winston Salem (749),252 South Stratford Road,Winston Salem,NC,27103,0.2121306160868265,33208.0,27103,Forsyth,99.12,195.43
Trader Joe's Fairfield (101),1350 Gateway Blvd,Fairfield,CA,94533,0.1559130858388324,69277.0,94533,Solano,123.29,320.28
Trader Joe's Peabody (516),300 Andover St,Peabody,MA,01960,0.140138465555948,50944.0,01960,Essex,82.15,239.51
Trader Joe's Bellevue (131),15563 NE 24th St,Bellevue,WA,98007,0.112199130660068,24889.0,98007,King,107.08,281.18
Trader Joe's Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,0.0452058178345774,30991.0,91423,Los Angeles,113.02,291.73
Trader Joe's Prescott (283),252 N Lee Blvd,Prescott,AZ,86303,0.1533653796434226,17082.0,86303,Yavapai,67.84,185.34
Trader Joe's Acton (511),145 Great Rd,Acton,MA,01720,0.0261763539583068,21361.0,01720,Middlesex,131.2,348.2
Trader Joe's Bloomfield Hills (675),6536 Telegraph Rd,Bloomfield Hills,MI,48301,0.0963066009705865,14127.0,48301,Oakland,139.56,427.24
Trader Joe's San Luis Obispo (41),3977 Higuera Street,San Luis Obispo,CA,93401,0.1167842967010567,28033.0,93401,San Luis Obispo,73.65,152.65
Trader Joe's Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,0.0744952732190083,20037.0,94596,Contra Costa,115.49,312.56
Trader Joe's Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,0.1507761284974348,33550.0,95821,Sacramento,53.96,132.85
Trader Joe's Burbank (124),214 E Alameda Ave,Burbank,CA,91502,0.1155500625297666,11371.0,91502,Los Angeles,141.66,311.53
Trader Joe's Templeton (211),1111 Rossi Road,Templeton,CA,93465,0.1863957274318705,9153.0,93465,San Luis Obispo,47.96,113.52
Trader Joe's Kettering (673),328 East Stroop Rd,Kettering,OH,45429,0.1474196408006796,25885.0,45429,Montgomery,78.83,226.75
Trader Joe's East Village (546),436 East 14th St,New York,NY,10009,0.069146499261352,61347.0,10009,New York,135.19,384.07
Trader Joe's La Jolla (20),8657 Villa la Jolla Dr,La Jolla,CA,92037,0.0614529809253435,46781.0,92037,San Diego,125.37,257.52
Trader Joe's Colorado Springs (305),5342 N Nevada Ave,Colorado Springs,CO,80918,0.1394731048787399,45467.0,80918,El Paso,101.66,272.25
Trader Joe's Westfield (601),155 Elm St,Westfield,NJ,07090,0.0790447269966141,30338.0,07090,Union,118.27,330.52
Trader Joe's Westlake (677),175 Market St,Westlake,OH,44145,0.0695085790346768,32729.0,44145,Cuyahoga,85.58,242.2
Trader Joe's Baton Rouge (754),3535 Perkins Rd,Baton Rouge,LA,70808,0.098553270327269,32504.0,70808,East Baton Rouge,61.35,151.38
Trader Joe's San Ramon (246),300 Market Place,San Ramon,CA,94583,0.1076341962447002,34859.0,94583,Contra Costa,125.05,366.19
Trader Joe's Santa Rosa - Cleveland Ave (75),3225 Cleveland Ave,Santa Rosa,CA,95403,0.0759045716018068,45164.0,95403,Sonoma,70.2,205.94
Trader Joe's Philadelphia - Center City (634),2121 Market St,Philadelphia,PA,19103,0.031820897831405,21908.0,19103,Philadelphia,53.24,181.85
Trader Joe's San Diego - SDSU (224),5140 College Ave,San Diego,CA,92115,0.1290177587140944,58560.0,92115,San Diego,87.71,236.65
Trader Joe's Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,0.1252582031203975,54605.0,94513,Contra Costa,126.88,341.96
Trader Joe's Palm Beach Gardens (772),2560 PGA Blvd,Palm Beach Gardens,FL,33410,0.1954421823168739,32570.0,33410,Palm Beach,130.33,269.58
Trader Joe's Stockton (76),6535 Pacific Ave,Stockton,CA,95207,0.1684040828276911,47965.0,95207,San Joaquin,113.23,317.72
Trader Joe's Houston - Alabama Theater (426),2922 S Shepherd Drive,Houston,TX,77098,0.07569093766587501,13076.0,77098,Harris,121.68,276.98
Trader Joe's Little Rock (756),11500 Financial Centre Pky,Little Rock,AR,72211,0.1076592128815716,21288.0,72211,Pulaski,58.9,169.75
Trader Joe's Alexandria (647),612 N Saint Asaph St,Alexandria,VA,22314,0.0360986020921621,29653.0,22314,Alexandria,129.62,339.96
Trader Joe's Corvallis (154),1550 NW 9th St,Corvallis,OR,97330,0.0594193946876126,41472.0,97330,Benton,64.48,183.99
